番号,section,単語,意味
221,section3,scene,場面、現場
222,section3,jam,渋滞
223,section3,spirit,精神
224,section3,medium,手段
225,section3,mass,一般大衆、多くの
226,section3,audience,聴衆、観客
227,section3,element,要素、元素
228,section3,climate,気候
229,section3,revolution,革命
230,section3,quarter,4分の1
231,section3,furniture,家具
232,section3,brain,脳
233,section3,atmosphere,大気、雰囲気
234,section3,property,財産
235,section3,reward,報酬
236,section3,security,安全
237,section3,delight,大喜び
238,section3,desert,砂漠
239,section3,background,背景、生い立ち、経歴
240,section3,trend,傾向
241,section3,vote,投票
242,section3,impact,影響、衝撃
243,section3,institution,機関、制度
244,section3,interaction,交流
245,section3,alternative,代わりのもの
246,section3,harm,害
247,section3,agency,機関、代理店
248,section3,capacity,能力
249,section3,minister,大臣
250,section3,volunteer,ボランティア
251,section3,access,利用する権利
252,section3,quantity,量
253,section3,branch,枝、支店、支局、部門、分野
254,section3,common,共通の、普通の
255,section3,rough,荒い、大雑把な
256,section3,likely,ありそうな、～する可能性が高い
257,section3,serious,深刻な
258,section3,particular,ある特定の、特有の
259,section3,available,手に入る、利用できる
260,section3,bilingual,二言語使用の
261,section3,ready,用意ができた
262,section3,correct,正しい
263,section3,familiar,熟知している、くわしい
264,section3,physical,身体の、肉体の
265,section3,worth,～の価値がある
266,section3,involved,～に関係している、参加している
267,section3,fantastic,すばらしい
268,section3,private,個人の、私的な
269,section3,obvious,明白な
270,section3,native,母国の
271,section3,complex,複雑な
272,section3,willing,～する気がある、～してもかまわない
273,section3,current,最新の
274,section3,male,男の
275,section3,proper,適切な
276,section3,capable,～する能力がある
277,section3,independent,独立した
278,section3,positive,積極的な
279,section3,pleasant,楽しい
280,section3,significant,重要な
281,section3,former,前の
282,section3,chemical,化学的な
283,section3,upset,動揺している
284,section3,previous,前の
285,section3,calm,冷静な
286,section3,specific,特定の
287,section3,conscious,意識している
288,section3,superior,よりすぐれている
289,section3,efficient,効率がいい
290,section3,fundamental,基本的な
291,section3,narrow,狭い
292,section3,reasonable,理にかなった
293,section3,nervous,神経質な、不安な
294,section3,alike,似ている
295,section3,domestic,家庭の、国内の
296,section3,negative,否定の
297,section3,moral,道徳的な
298,section3,eager,熱望している
299,section3,remarkable,すばらしい
300,section3,evil,悪い
301,section4,awake,目を覚まして
302,section4,aged,年老いた
303,section4,anxious,心配して、切望して
304,section4,tough,たくましい、骨の折れる
305,section4,nuclear,核の、原子力の
306,section4,legal,合法の、法律の
307,section4,curious,好奇心の強い
308,section4,civil,一般市民の
309,section4,recent,最近の
310,section4,senior,上級の、先輩の
311,section4,afterward,その後
312,section4,nearly,ほとんど
313,section4,therefore,それゆえに
314,section4,exactly,正確に
315,section4,possibly,ひょっとすると、どうしてもVできない
316,section4,contrary,反対に
317,section4,occasionally,時々
318,section4,somehow,どういうわけか、なぜか
319,section4,seldom,めったに～ない
320,section4,thus,それゆえ、そのように
321,section4,throughout,いたる所に
322,section4,unlike,～と違って
323,section4,besides,～に加えて
324,section4,beyond,～の向こうに；～できる範囲をこえて
325,section4,within,～以内で
326,section4,nor,～もない
327,section4,unless,～しない限り
328,section4,except,～を除いて
329,section4,ought,～すべきである
330,section4,in spite of,～にもかかわらず
331,section4,whether,～かどうか、～であろうとなかろうと
332,section4,explain,～を説明する
333,section4,accept,～を受け入れる
334,section4,produce,～を生産する
335,section4,exist,存在する
336,section4,express,～を表現する
337,section4,add,～を加える
338,section4,avoid,～を避ける
339,section4,marry,～と結婚する
340,section4,protect,～を守る
341,section4,affect,～に影響する
342,section4,determine,～を決定する
343,section4,solve,～を解決する
344,section4,contain,～を含んでいる
345,section4,discuss,～を議論する
346,section4,ignore,～を無視する
347,section4,guess,～を推測する
348,section4,exchange,交換する
349,section4,satisfy,～を満たす
350,section4,complain,苦情を言う
351,section4,achieve,～を達成する
352,section4,enable,～を可能にする
353,section4,intend,つもりだ
354,section4,obtain,～を得る
355,section4,divide,分割する
356,section4,annoy,～をいらいらさせる
357,section4,differ,異なる
358,section4,educate,～を教育する
359,section4,borrow,～を借りる
360,section4,invent,～を発明する
361,section4,promote,～を促進する
362,section4,advise,～に忠告する
363,section4,retire,辞める
364,section4,permit,～を許す
365,section4,recommend,～を勧める
366,section4,apologize,謝る
367,section4,inform,～に知らせる
368,section4,oppose,～に反対する
369,section4,trust,～を信用する
370,section4,select,～を選ぶ
371,section4,praise,～をほめる
372,section4,handle,～に対処する
373,section4,propose,～を提案する
374,section4,breathe,～を呼吸する
375,section4,criticize,～を非難する
376,section4,overcome,～に打ち勝つ
377,section4,possess,～を持っている
378,section4,predict,～を予言する
379,section4,publish,～を出版する
380,section4,floating,浮かぶ
381,section4,recall,～を思い出す
382,section4,explore,～を探検する
383,section4,pretend,ふりをする
384,section4,absorb,～を吸収する
385,section4,resemble,～に似ている
386,section4,tear,～を引き裂く
387,section4,consume,～を消費する
388,section4,compete,競争する
389,section4,quit,～をやめる
390,section4,announce,～を発表する
391,section4,react,反応する
392,section4,wander,歩き回る
393,section4,text,メールを送る
394,section4,generate,～を生み出す
395,section4,score,～を取る
396,section4,government,政府
397,section4,knowledge,知識
398,section4,nation,国
399,section4,effort,努力
400,section4,period,時代
401,section5,population,人口
402,section5,purpose,目的
403,section5,behavior,行動
404,section5,lack,不足
405,section5,skill,技術
406,section5,quality,質
407,section5,environment,環境
408,section5,role,役割
409,section5,attitude,態度
410,section5,author,筆者
411,section5,research,研究
412,section5,opportunity,機会
413,section5,source,源
414,section5,carbon,炭素
415,section5,shape,形
416,section5,advantage,利点
417,section5,method,方法
418,section5,habit,習慣
419,section5,detail,細部
420,section5,distance,距離
421,section5,crowd,群衆
422,section5,instance,例
423,section5,desire,願望
424,section5,standard,水準
425,section5,task,仕事
426,section5,generation,世代
427,section5,responsibility,責任
428,section5,experiment,実験
429,section5,athlete,運動選手
430,section5,decade,10年
431,section5,loss,損失
432,section5,fever,熱
433,section5,theory,理論
434,section5,statement,記述
435,section5,professor,教授
436,section5,function,機能
437,section5,surface,表面
438,section5,envelope,封筒
439,section5,organization,組織
440,section5,policy,政策
441,section5,resource,資源
442,section5,contrast,対比
443,section5,flood,洪水
444,section5,mate,連れ合い
445,section5,goods,商品
446,section5,creature,動物
447,section5,structure,構造
448,section5,tradition,伝統
449,section5,weight,体重
450,section5,charity,慈善
451,section5,citizen,市民
452,section5,impression,印象
453,section5,cartoon,マンガ
454,section5,career,経歴
455,section5,site,用地
456,section5,passenger,乗客
457,section5,violence,暴力
458,section5,income,所得
459,section5,temperature,気温
460,section5,majority,大多数
461,section5,origin,起源
462,section5,literature,文学
463,section5,equipment,設備
464,section5,stranger,見知らぬ人
465,section5,strength,強さ
466,section5,planet,惑星
467,section5,fiction,小説
468,section5,religion,宗教
469,section5,pollution,汚染
470,section5,wealth,富
471,section5,document,文書
472,section5,profit,もうけ
473,section5,technique,技術
474,section5,emotion,感情
475,section5,phenomenon,現象
476,section5,horror,恐怖
477,section5,ladder,はしご
478,section5,billion,十億
479,section5,status,地位
480,section5,youth,若者
481,section5,confidence,自信
482,section5,edge,周辺
483,section5,household,家庭
484,section5,scholar,学者
485,section5,survey,調査
486,section5,vocabulary,語彙
487,section5,enemy,敵
488,section5,construction,建設
489,section5,lecture,講義
490,section5,instruction,指示
491,section5,crisis,危機
492,section5,instrument,器具
493,section5,crop,作物
494,section5,weapon,兵器
495,section5,device,装置
496,section5,path,道
497,section5,earthquake,地震
498,section5,stream,小川
499,section5,notion,概念
500,section5,yard,庭
501,section6,victim,犠牲者
502,section6,fuel,燃料
503,section6,ancestor,祖先
504,section6,soil,土壌
505,section6,debate,討論
506,section6,crime,犯罪
507,section6,colleague,同僚
508,section6,shelf,棚
509,section6,analysis,分析
510,section6,universe,宇宙
511,section6,electricity,電気
512,section6,insect,昆虫
513,section6,web,巣
514,section6,storm,嵐
515,section6,plenty,十分な
516,section6,agriculture,農業
517,section6,gene,遺伝子
518,section6,evidence,証拠
519,section6,consequence,結果
520,section6,infant,幼児
521,section6,leisure,暇
522,section6,cell,細胞
523,section6,talent,才能
524,section6,advertising,広告
525,section6,extent,程度
526,section6,garbage,ごみ
527,section6,general,一般
528,section6,various,さまざまな
529,section6,similar,似ている
530,section6,complete,完全な
531,section6,sharp,急激な
532,section6,expensive,高価な
533,section6,political,政治的な
534,section6,aware,気づいている
535,section6,ancient,古代の
536,section6,medical,医学の
537,section6,essential,不可欠だ
538,section6,huge,巨大な
539,section6,terrible,ひどい
540,section6,practical,実用的な
541,section6,entire,全
542,section6,favorite,いちばん好きな
543,section6,comfortable,快適な
544,section6,minor,小さい
545,section6,typical,典型的な
546,section6,ideal,理想的な
547,section6,principal,主要な
548,section6,appropriate,適切な
549,section6,empty,からの
550,section6,rapid,急速な
551,section6,mental,精神の
552,section6,excellent,すばらしい
553,section6,convenient,都合がいい
554,section6,potential,潜在的な
555,section6,financial,財政的な
556,section6,enormous,莫大な
557,section6,rare,珍しい
558,section6,artificial,人工
559,section6,tiny,ちっちゃな
560,section6,considerable,かなりの
561,section6,sensitive,敏感な
562,section6,intellectual,知的な
563,section6,thirsty,のどが渇く
564,section6,polite,礼儀正しい
565,section6,accurate,正確な
566,section6,rude,失礼な
567,section6,sufficient,十分な
568,section6,urban,都会の
569,section6,temporary,一時的な
570,section6,primitive,原始的な
571,section6,permanent,永久
572,section6,elderly,高齢の
573,section6,severe,厳しい
574,section6,brief,簡潔な
575,section6,mobile,流動的な
576,section6,latest,最新の
577,section6,military,軍事的な
578,section6,strict,厳しい
579,section6,solid,固体の
580,section6,stupid,ばかな
581,section6,biological,生物
582,section6,probably,おそらく
583,section6,hardly,ほとんど～ない
584,section6,immediately,すぐに
585,section6,eventually,ついに
586,section6,frequently,しばしば
587,section6,extremely,非常に
588,section6,gradually,だんだん
589,section6,instantly,すぐに
590,section6,nevertheless,それにもかかわらず
591,section6,moreover,その上
592,section6,relatively,比較的
593,section6,apparently,一見
594,section6,definitely,絶対
595,section6,largely,主に
596,section6,mostly,大部分は
597,section6,approximately,およそ
598,section6,overnight,一晩
599,section6,accidentally,偶然
600,section6,despite,にもかかわらず
601,section7,proceed,進む
602,section7,ensure,～を確実にする
603,section7,interpret,～を解釈する
604,section7,cease,～しなくなる
605,section7,ban,（公式に）～を禁止する
606,section7,obey,～に従う
607,section7,eliminate,(不要なもの)を除去する
608,section7,resist,～に抵抗する
609,section7,accompany,〈人〉に同伴する
610,section7,commit,〈罪など〉を犯す、～をゆだねる、委任する、(本気で)取り組む
611,section7,pursue,～を追求する
612,section7,demonstrate,(証明などが)～を明らかに示す
613,section7,bet,きっと～だと思う
614,section7,ruin,～を台無しにする、破壊する
615,section7,threaten,～を脅迫する
616,section7,attach,AをBにくっつける
617,section7,reverse,～を反対にする、逆転する
618,section7,restrict,～を制限する
619,section7,compose,～を組み立てる
620,section7,lean,よりかかる、もたれる
621,section7,substitute,～を代わりに用いる
622,section7,trace,～の跡をたどる
623,section7,interrupt,～を妨げる
624,section7,confront,～の前に立ちふさがる、～に立ち向かう
625,section7,illustrate,～を（例で）示す
626,section7,arrest,～を逮捕する
627,section7,stimulate,～を刺激する
628,section7,assure,（～を）保証する
629,section7,consult,～に相談する、～を参照する
630,section7,depress,～を憂鬱にさせる
631,section7,crash,激突する
632,section7,inspire,～を奮起させる、やる気にさせる
633,section7,specialize,Aを専門にする、専攻する
634,section7,cultivate,(植物)を栽培する、(感情・能力などを)育む
635,section7,fulfill,(約束・夢など)を果たす
636,section7,transmit,～を送る、伝える
637,section7,found,～を創立する、設立する
638,section7,clap,(手など)をたたく
639,section7,burst,破裂する、突然～しだす
640,section7,bow,おじぎする
641,section7,dismiss,(考えなど)を無視する、(人)を解雇する、解散する
642,section7,breed,～を繁殖させる、繁殖する
643,section7,prohibit,〈法・団体が〉～を禁じる
644,section7,oblige,～に強いる
645,section7,qualify,Aに適任である
646,section7,invest,（金）を投資する
647,section7,grasp,～を理解する
648,section7,collapse,崩壊する
649,section7,overlook,～を見落とす、～を見逃す
650,section7,accuse,～を非難する
651,section7,frustrate,〈人〉を欲求不満にさせる
652,section7,deprive,AからBを奪う
653,section7,astonish,～を驚嘆させる
654,section7,register,～を登録する
655,section7,correspond,一致する
656,section7,cast,～を投げる
657,section7,attribute,AはBのおかげだと思う
658,section7,neglect,～を無視する、怠る
659,section7,starve,飢える
660,section7,resolve,(問題など)を解決する
661,section7,impose,AをBに課す、押し付ける
662,section7,convert,～を転換する
663,section7,scare,～をおびえさせる
664,section7,constitute,～を構成する、占める、～である
665,section7,appoint,～を任命する
666,section7,imply,～を(暗に)意味する
667,section7,assign,(仕事・物)を割り当てる
668,section7,nod,うなずく
669,section7,elect,～を選挙で選ぶ
670,section7,transfer,～を移す
671,section7,rob,AからBを奪う
672,section7,capture,～を捕らえる
673,section7,undertake,（仕事など）を引き受ける
674,section7,drown,おぼれ死ぬ
675,section7,split,～を割る、分裂する
676,section7,resort,Aに訴える
677,section7,descend,下る、降りる
678,section7,irritate,～をいらだたせる
679,section7,pronounce,〈単語など〉を発音する
680,section7,equip,～を装備させる
681,section7,cheat,いかさまをする
682,section7,emerge,〈隠れていたものが〉現れる
683,section7,devote,～をささげる
684,section7,heal,〈けがなど〉を治す、治る
685,section7,urge,～に強く迫る、～を説得する
686,section7,envy,～をうらやむ
687,section7,chase,～を追いかける
688,section7,prompt,～を促す
689,section7,withdraw,～を引っ込める、引きこもる、退く、(預金など)を引き出す
690,section7,detect,～を探知する、～を発見する
691,section7,interfere,Aを邪魔する
692,section7,kid,冗談を言う、からかう
693,section7,launch,(ロケットなど)を打ち上げる
694,section7,endanger,～を危険にさらす
695,section7,foster,～を促進する、育成する
696,section7,diminish,減少する、衰える、～を減らす
697,section7,spill,～をこぼす
698,section7,infect,〈人〉に感染する
699,section7,stem,Aから生じる、Aに由来する
700,section7,tap,～を軽くたたく
701,section8,embrace,受け入れる、含む
702,section8,proportion,比率
703,section8,contract,契約
704,section8,chest,胸
705,section8,treasure,財宝
706,section8,stock,株(式)
707,section8,facility,設備、施設
708,section8,sum,金額、合計、要約
709,section8,rank,地位
710,section8,democracy,民主主義、民主国家
711,section8,emergency,緊急事態
712,section8,protest,抗議
713,section8,immigrant,移民
714,section8,vehicle,車、乗り物、手段
715,section8,routine,決まりきった仕事、日課
716,section8,stuff,物
717,section8,row,列
718,section8,profile,プロフィール、人物紹介、横顔
719,section8,dawn,夜明け
720,section8,welfare,福祉
721,section8,perspective,見方
722,section8,enthusiasm,熱意、情熱
723,section8,faith,信頼
724,section8,occupation,職業、占領
725,section8,witness,証人、目撃者
726,section8,kingdom,王国
727,section8,equivalent,同等のもの、相当するもの
728,section8,objective,目的、目標、客観的な
729,section8,pile,積み重ね
730,section8,shelter,避難(所)
731,section8,trial,試み、裁判
732,section8,honor,名誉
733,section8,territory,領土、なわ張り
734,section8,frame,わく
735,section8,border,国境地帯
736,section8,statistics,統計(学)
737,section8,enterprise,企業、事業
738,section8,context,文脈、状況
739,section8,load,荷物
740,section8,grain,穀物
741,section8,review,再検討
742,section8,prejudice,偏見
743,section8,strain,負担
744,section8,trap,わな、閉じ込められる、わなにかける
745,section8,temper,気性
746,section8,slave,奴隷
747,section8,wound,傷
748,section8,divorce,離婚
749,section8,tune,曲
750,section8,height,高さ、最盛期
751,section8,faculty,学部、能力
752,section8,span,期間
753,section8,dimension,側面、要素、次元
754,section8,version,型、...版、翻訳、説明
755,section8,parallel,類似(物)、匹敵するもの
756,section8,horizon,地平線
757,section8,acquaintance,知人
758,section8,burden,重荷
759,section8,basis,基礎、根拠、方式、やり方
760,section8,poison,毒
761,section8,constitution,憲法
762,section8,administration,経営、行政
763,section8,charm,魅力
764,section8,organ,臓器、器官
765,section8,prey,獲物、えじき
766,section8,venture,冒険的事業
767,section8,mission,使命、任務
768,section8,inquiry,調査、質問、問い合わせ
769,section8,award,賞
770,section8,strip,細長い一片
771,section8,distress,苦しみ、悲嘆、苦難
772,section8,circulation,循環、流通、発行部数
773,section8,shade,陰、日陰
774,section8,stereotype,典型的なイメージ、類型、固定観念
775,section8,client,依頼人
776,section8,output,生産高
777,section8,lord,神
778,section8,convention,慣習、しきたり、会議、大会
779,section8,mine,鉱山
780,section8,craft,工芸、技術、巧みに作る
781,section8,core,中心、核心
782,section8,stroke,脳卒中、発作、打撃、一撃、なでる
783,section8,frontier,国境
784,section8,peer,同僚、じっと見る
785,section8,vessel,血管、船、器
786,section8,disability,障害
787,section8,gravity,重力
788,section8,ethic,倫理(学)
789,section8,terminal,終点
790,section8,tide,潮流、潮の干満
791,section8,abuse,虐待
792,section8,guilty,有罪の、罪の意識がある
793,section8,vital,きわめて重要な、必要な、活気のある
794,section8,fellow,仲間の
795,section8,contemporary,現代の
796,section8,annual,年に１度の、１年間の
797,section8,accustomed,慣れた
798,section8,steady,しっかりした
799,section8,dull,退屈させる
800,section8,keen,熱望して、鋭い
801,section9,loose,ゆるい
802,section9,delicate,繊細な、微妙で難しい
803,section9,internal,内部の、国内の
804,section9,casual,形式ばらない、気楽な
805,section9,mature,成熟した
806,section9,concrete,具体的な
807,section9,awful,ひどい
808,section9,exhausted,疲れ切っている
809,section9,overall,全面的な、全体的な
810,section9,tight,引き締まった、きつい
811,section9,prime,最も重要な、主要な
812,section9,genuine,本物の、真の、心からの
813,section9,modest,控えめな、謙虚な、わずかな
814,section9,intimate,親密な
815,section9,minimum,最小限の
816,section9,sophisticated,高度な
817,section9,latter,後者の
818,section9,bitter,苦い、つらい、腹を立てた
819,section9,peculiar,独特の、固有の
820,section9,passive,受動的な、消極的な
821,section9,ethnic,民族的な、民族の
822,section9,noble,高貴な
823,section9,vain,むだな
824,section9,innocent,無罪の、罪のない、無邪気な
825,section9,underlying,根本的な
826,section9,alien,外国の、異質な
827,section9,relevant,関連のある
828,section9,inclined,Ｖする傾向がある、Ｖしたい気がある
829,section9,awkward,気まずい
830,section9,brilliant,すばらしい
831,section9,desperate,必死の
832,section9,refreshing,さわやかな
833,section9,thrilled,とてもうれしい
834,section9,inner,内側の
835,section9,consistent,矛盾のない、一致した
836,section9,plain,明白な、わかりやすい
837,section9,vivid,鮮やかな
838,section9,miserable,惨めな
839,section9,substantial,相当な、多大な
840,section9,fond,Aが好きだ
841,section9,FALSE,まちがいの
842,section9,lazy,怠惰な
843,section9,precisely,正確に、まさに、ちょうど
844,section9,meanwhile,その間に
845,section9,altogether,完全に
846,section9,lately,最近
847,section9,barely,かろうじて
848,section9,scarcely,ほとんど～ない
849,section9,accordingly,それ相応に
850,section9,deliberately,わざと
851,section9,beneath,～の下で
852,section9,whereas,～だが一方
853,section9,declare,～を宣言する
854,section9,alter,～を変える
855,section9,arise,生じる
856,section9,transform,変える
857,section9,defeat,～を打ち負かす
858,section9,investigate,～を調査する
859,section9,distinguish,～を見分ける
860,section9,bury,～を埋める
861,section9,cope,うまく対処する
862,section9,occur,起こる
863,section9,accomplish,～をやりとげる
864,section9,hesitate,ためらう
865,section9,endure,～に耐える
866,section9,conclude,～と結論づける
867,section9,guarantee,～を保証する
868,section9,dominate,～を支配する
869,section9,confirm,～を裏付ける
870,section9,greet,～にあいさつする
871,section9,entertain,～を楽しませる
872,section9,defend,～を守る
873,section9,forbid,～を禁じる
874,section9,broadcast,～を放送する
875,section9,sacrifice,～を犠牲にする
876,section9,punish,～を罰する
877,section9,glance,ちらりと見る
878,section9,retain,～を保持する
879,section9,calculate,～を計算する
880,section9,sinking,沈む
881,section9,rescue,～を救助する
882,section9,beg,～と乞う
883,section9,define,定義する
884,section9,deceive,～をだます
885,section9,convey,～を伝える
886,section9,sustain,～を維持する
887,section9,purchase,～を購入する
888,section9,fade,薄れる
889,section9,regulate,～を規制する
890,section9,distribute,～を分配する
891,section9,enhance,～を向上させる
892,section9,chat,おしゃべりする
893,section9,exceed,～を超える
894,section9,wipe,～をふく
895,section9,cooperate,協力する
896,section9,inherit,～を受け継ぐ
897,section9,unite,～を団結させる
898,section9,leap,跳ぶ
899,section9,exaggerate,～を誇張する
900,section9,conquer,～を征服する
901,section10,melt,溶ける
902,section10,invade,～に侵入する
903,section10,modify,～を修正する
904,section10,scatter,～をばらまく
905,section10,undergo,～を経験する
906,section10,evaluate,～を評価する
907,section10,bend,身をかがめる
908,section10,derive,由来する
909,section10,screaming,悲鳴をあげる
910,section10,gaze,見つめる
911,section10,pray,祈る
912,section10,polish,～を磨く
913,section10,classify,分類する
914,section10,assert,～と主張する
915,section10,grab,～をつかむ
916,section10,fold,～を折りたたむ
917,section10,sweep,～を掃く
918,section10,whisper,ささやく
919,section10,imitate,～をまねる
920,section10,stare,じっと見る
921,section10,emphasize,～を強調する
